"V1" "V2"
"EGFR" "STAT3"
"EGLN2" "miR-205"
"EGLN3" "miR-130b"
"EGR1" "HRAS"
"EGR1" "LEF1"
"EGR1" "MAPK1"
"EGR1" "miR-192"
"EGR1" "miR-215"
"EGR1" "SNAI1"
"EGR1" "TCF7"
"EGR1" "TGFB1"
"EGR1" "TP53"
"EGR1" "WNT1"
"EIF2AK2" "miR-34b"
"EIF2AK2" "STAT3"
"EIF2AK2" "TP53"
"ELF1" "ESRP1"
"ELF1" "LEF1"
"ELF1" "MUC1"
"ELF1" "SIRT1"
"ELF1" "SMAD2"
"ELF1" "SNAI1"
"ELF1" "SOS1"
"ELF1" "STAT3"
"ELF1" "TGFB1"
"ELF1" "VIM"
"ELF1" "ZEB2"
"EP300" "ETS1"
"EP300" "HDAC1"
"EP300" "HDAC2"
"EP300" "LEF1"
"EP300" "miR-130b"
"EP300" "miR-200c"
"EP300" "NFKB1"
"EP300" "NOTCH1"
"EP300" "SIRT1"
"EP300" "SMAD2"
"EP300" "SMAD3"
"EP300" "SMAD4"
"EP300" "STAT3"
"EP300" "TCF3"
"EP300" "TCF7"
"EP300" "TCF7L1"
"EP300" "TCF7L2"
"EP300" "TGFB1"
"EP300" "TP53"
"EP300" "VIM"
"EPAS1" "SMAD3"
"EPAS1" "TP53"
"ERBB2" "HRAS"
"ERBB2" "KRAS"
"ERBB2" "MAP2K1"
"ERBB2" "miR-205"
"ERBB2" "NOTCH1"
"ERBB2" "SOS1"
"ERBB2" "STAT3"
"ERBB3" "HRAS"
"ERBB3" "KRAS"
"ERBB3" "MAP2K1"
"ERBB3" "miR-205"
"ERBB3" "NOTCH1"
"ERBB3" "PIK3CA"
"ERBB3" "SOS1"
"ERN1" "miR-192"
"ESR1" "HDAC1"
"ESR1" "KRT18"
"ESR1" "MAPK1"
"ESR1" "miR-130b"
"ESR1" "NFKB1"
"ESR1" "PIK3CA"
"ESR1" "SMAD3"
"ESR1" "SMAD4"
"ESR1" "SOS1"
"ESR1" "TP53"
"ESRP1" "EZH2"
"ESRP1" "GTF2F1"
"ESRP1" "KLF4"
"ESRP1" "MAZ"
"ESRP1" "MLLT1"
"ESRP1" "RNF2"
"ESRP1" "SNAI1"
"ESRP1" "SUPT5H"
"ESRP1" "ZEB1"
"ESRP1" "ZEB2"
"ESRP2" "FOXA3"
"ESRP2" "GABPA"
"ESRP2" "GATAD1"
"ESRP2" "GTF2F1"
"ESRP2" "HBP1"
"ESRP2" "KLF4"
"ESRP2" "KLF9"
"ESRP2" "MAZ"
"ESRP2" "MLLT1"
"ESRP2" "MLX"
"ESRP2" "MYC"
"ESRP2" "PPARG"
"ESRP2" "PRDM2"
"ESRP2" "SAP30"
"ESRP2" "SNAI1"
"ESRP2" "TFDP1"
"ESRP2" "TGIF2"
"ESRP2" "YY1"
"ESRP2" "ZBTB11"
"ESRP2" "ZEB1"
"ESRP2" "ZEB2"
"ESRP2" "ZNF2"
"ESRP2" "ZNF501"
"ESRP2" "ZNF580"
"ESRP2" "ZNF71"
"ESRRA" "HRAS"
"ESRRA" "MUC1"
"ESRRA" "SIRT1"
"ESRRA" "YBX1"
"ESRRA" "ZEB2"
"ETS1" "FOS"
"ETS1" "FOXO1"
"ETS1" "GABPA"
"ETS1" "GSK3B"
"ETS1" "HRAS"
"ETS1" "JUN"
"ETS1" "KRT18"
"ETS1" "MAPK1"
"ETS1" "MAPK14"
"ETS1" "MAPK3"
"ETS1" "miR-200c"
"ETS1" "MLLT1"
"ETS1" "MUC1"
"ETS1" "NFKB1"
"ETS1" "RUNX1"
"ETS1" "SMAD3"
"ETS1" "SNAI1"
"ETS1" "SP1"
"ETS1" "STAT3"
"ETS1" "TP53"
"ETS1" "UBC"
"ETS1" "WRNIP1"
"ETS1" "ZEB1"
"ETV4" "FN1"
"ETV4" "HDAC1"
"ETV4" "KRT18"
"ETV4" "MDM2"
"ETV4" "NFKB1"
"ETV4" "OCLN"
"ETV4" "SMAD2"
"EZH2" "HDAC1"
"EZH2" "HDAC2"
"EZH2" "LEF1"
"EZH2" "MUC1"
"EZH2" "MYC"
"EZH2" "MYOD1"
"EZH2" "NOTCH1"
"EZH2" "RNF2"
"EZH2" "SIRT1"
"EZH2" "SNAI1"
"EZH2" "STAT3"
"EZH2" "TWIST1"
"EZH2" "UBC"
"EZH2" "WNT1"
"EZH2" "YY1"
"EZH2" "ZEB1"
"EZH2" "ZEB2"
"EZR" "miR-205"
